itr,ip_score_fgs_car,ip_score_fgs_ped,ip_score_fgs_cyc
247,0.9642499313501831,0.7946204725514662,0.8230687295128319
248,0.9642080086145453,0.7945046841551098,0.8228927133086593
249,0.9641660858789074,0.7943888957587533,0.8227166971044867
250,0.9641234048371078,0.7942711221847908,0.8225375513360034
251,0.9640807237953082,0.7941533486108283,0.8223584055675202
252,0.9640380427535087,0.7940355750368657,0.8221792597990369
253,0.9639953617117091,0.7939178014629032,0.8220001140305536
254,0.9639518816552105,0.7937976064043303,0.8218178077345251
255,0.9639084015987119,0.7936774113457573,0.8216355014384964
256,0.9638649215422134,0.7935572162871843,0.8214531951424677
257,0.9638214414857148,0.7934370212286114,0.8212708888464392
258,0.9637771276951667,0.7933146337458974,0.8210855342163514
259,0.9637328139046186,0.7931922462631834,0.8209001795862638
260,0.9636885001140705,0.7930698587804694,0.8207148249561761
261,0.9636441863235223,0.7929474712977554,0.8205294703260884
262,0.9635989861717749,0.7928229293968905,0.8203408392965226
263,0.9635537860200275,0.7926983874960254,0.8201522082669569
264,0.9635085858682801,0.7925738455951603,0.8199635772373912
265,0.9634633857165327,0.7924493036942953,0.8197749462078254
266,0.9634173491960494,0.7923859283303297,0.8196789668167508
267,0.963371312675566,0.7923225529663641,0.8195829874256761
268,0.9633252761550826,0.7922591776023985,0.8194870080346016
269,0.9632792396345993,0.7921958022384329,0.819391028643527
270,0.9632323734706871,0.7921324268744673,0.8192950492524523
271,0.9631855073067751,0.7920690515105017,0.8191990698613778
272,0.9631386411428631,0.792005676146536,0.8191030904703032
273,0.9630917749789509,0.7919423007825704,0.8190071110792285
274,0.9630440684360188,0.7918134280771336,0.8188119489920735
275,0.9629963618930866,0.7916845553716968,0.8186167869049186
276,0.9629486553501543,0.79155568266626,0.8184216248177635
277,0.9629009488072221,0.7914268099608232,0.8182264627306085
278,0.9628524105436759,0.791295599450042,0.8180279971900677
279,0.9628038722801295,0.791164388939261,0.8178295316495268
280,0.9627553340165833,0.7910331784284799,0.817631066108986
281,0.9627067957530371,0.7909019679176987,0.8174326005684451
282,0.962657480848654,0.790768708944791,0.817231025664115
283,0.9626081659442709,0.7906354499718833,0.8170294507597848
284,0.9625588510398878,0.7905021909989757,0.8168278758554547
285,0.9625095361355047,0.790368932026068,0.8166263009511245
286,0.9624594150016188,0.7902333639513174,0.8164217744832847
287,0.962409293867733,0.7900977958765669,0.8162172480154449
288,0.9623591727338472,0.7899622278018164,0.8160127215476052
289,0.9623090515999613,0.7898266597270658,0.8158081950797653
290,0.9622580280312245,0.7896890289853785,0.8156004425874329
291,0.9622070044624876,0.7895513982436912,0.8153926900951005
292,0.9621559808937508,0.7894137675020041,0.815184937602768
293,0.962104957325014,0.7892761367603168,0.8149771851104356
294,0.9620531055073371,0.7891363982432219,0.8148716747619583
295,0.9620012536896604,0.7889966597261269,0.8147661644134809
296,0.9619494018719836,0.788856921209032,0.8146606540650037
297,0.9618975500543068,0.788717182691937,0.8145551437165264
298,0.9618449132797585,0.7885750581383582,0.814449633368049
299,0.9617922765052103,0.7884329335847793,0.8143441230195717
300,0.961739639730662,0.7882908090312004,0.8142386126710943
301,0.9616870029561138,0.7881486844776215,0.814133102322617
302,0.9616334918355594,0.7880042378348051,0.8139192304735435
303,0.9615799807150051,0.7878597911919887,0.81370535862447
304,0.9615264695944508,0.7877153445491724,0.8134914867753965
305,0.9614729584738964,0.7875708979063559,0.813277614926323
306,0.9614186127704692,0.7874241273628577,0.8130606587444106
307,0.9613642670670421,0.7872773568193594,0.8128437025624982
308,0.9613099213636151,0.7871305862758612,0.8126267463805859
309,0.961255575660188,0.786983815732363,0.8124097901986734
310,0.9612003945855168,0.7868350028411528,0.8121898696111288
311,0.9611452135108454,0.7866861899499428,0.8119699490235841
312,0.9610900324361741,0.7865373770587327,0.8117500284360395
313,0.9610348513615028,0.7863885641675226,0.8115301078484949
314,0.9609787919452182,0.7862374896914001,0.8113071474727923
315,0.9609227325289335,0.7860864152152776,0.8110841870970897
316,0.9608666731126487,0.7859353407391549,0.8108612267213873
317,0.9608106136963641,0.7857842662630324,0.8106382663456847
318,0.9607536838341019,0.7856311177385495,0.8104121907694957
319,0.9606967539718396,0.7854779692140665,0.8101861151933065
320,0.9606398241095774,0.7853248206895836,0.8099600396171174
321,0.9605828942473151,0.7851716721651008,0.8097339640409283
322,0.9605250974569404,0.7850160588879274,0.8095051907382371
323,0.9604673006665656,0.7848604456107541,0.8092764174355459
324,0.9604095038761908,0.7847048323335808,0.8090476441328547
325,0.9603517070858161,0.7845492190564074,0.8088188708301635
326,0.9602929900324222,0.7843914204401066,0.8085869190808336
327,0.9602342729790283,0.7842336218238057,0.8083549673315038
328,0.9601755559256343,0.7840758232075048,0.8081230155821739
329,0.9601168388722404,0.783918024591204,0.807891063832844
330,0.9600573367509296,0.7837578871162767,0.80765624511731
331,0.9599978346296187,0.7835977496413494,0.807421426401776
332,0.959938332508308,0.7834376121664222,0.8071866076862421
333,0.9598788303869972,0.7832774746914949,0.8069517889707081
334,0.9598184901290541,0.7831152231218916,0.8067141462579972
335,0.959758149871111,0.7829529715522885,0.8064765035452864
336,0.9596978096131678,0.7827907199826853,0.8062388608325757
337,0.9596374693552246,0.7826284684130821,0.8060012181198648
338,0.9595762582214625,0.7824640453515859,0.8057607190976277
339,0.9595150470877003,0.7822996222900896,0.8055202200753907
340,0.9594538359539382,0.7821351992285934,0.8052797210531537
